"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","total_input_tokens","total_output_tokens","total_cache_creation_tokens","total_cache_read_tokens"
"2026-02-13","raffertyuy","copilot","copilot_premium_request","Claude Opus 4.5","6","requests","0.04","0.24","0.24","0","False","300","raztype-avocado","","16","658","26245","0"
"2026-02-13","neildcruz","copilot","copilot_premium_request","Claude Opus 4.6","72","requests","0.04","2.880000000000001","2.880000000000001","0","False","1000","neildcruz-avocado","","34960","3753","167190","126793"
"2026-02-13","glorialangreo","copilot","copilot_premium_request","Claude Opus 4.6","222","requests","0.04","8.88","8.88","0","False","1000","github","","148","26852","2457462","2135803"
"2026-02-13","adl-bot","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","34967","404","0","0"
"2026-02-13","neildcruz","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","1000","neildcruz-avocado","","856","1005","43608","21574"
"2026-02-13","optimisticjc","copilot","copilot_premium_request","GPT-5.1","4","requests","0.04","0.16","0.16","0","False","1000","optimisticjc-ceviche","","22213","2013","0","14080"
"2026-02-13","KittyChiu","copilot","copilot_premium_request","GPT-5.2","30","requests","0.04","1.2000000000000004","1.2000000000000004","0","False","1000","avocadosmash","","226906","24836","0","512896"
"2026-02-13","claristeele","copilot","copilot_premium_request","GPT-5.2","5","requests","0.04","0.2","0.2","0","False","1000","10k-repos","","4066","465","0","33920"
"2026-02-14","mouismail","copilot","copilot_premium_request","Claude Haiku 4.5","0.33","requests","0.04","0.0132","0.0132","0","False","1000","mouismail-avocado","","3142","468","5217","0"
"2026-02-14","dandy-feller","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","300","dandy-feller-bento","","1039","1082","46224","0"
"2026-02-16","neildcruz","copilot","copilot_premium_request","Claude Opus 4.6","114","requests","0.04","4.560000000000002","4.560000000000002","0","False","1000","neildcruz-avocado","","1469","19088","271871","383176"
"2026-02-16","some-natalie","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","1000","larger-runner-demo","","33","417","0","0"
"2026-02-16","neildcruz","copilot","copilot_premium_request","Claude Sonnet 4.5","4","requests","0.04","0.16","0.16","0","False","1000","neildcruz-avocado","","3724","2163","30340","44670"
"2026-02-16","some-natalie","copilot","copilot_premium_request","GPT-5.2","4","requests","0.04","0.16","0.16","0","False","1000","larger-runner-demo","","9904","1322","0","34688"
"2026-02-16","arilivigni","copilot","copilot_premium_request","GPT-5.2-Codex","3","requests","0.04","0.12","0.12","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","1215","1318","0","20992"
"2026-02-17","optimisticjc","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","0.3","requests","0.04","0.012","0.012","0","False","1000","optimisticjc-ceviche","","0","227","0","0"
"2026-02-17","KittyChiu","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","5.099999999999999","requests","0.04","0.20400000000000004","0.20400000000000004","0","False","1000","avocadosmash","","0","7017","0","0"
"2026-02-17","KittyChiu","copilot","copilot_premium_request","Auto: Claude Sonnet 4.5","17.1","requests","0.04","0.684","0.684","0","False","1000","avocadosmash","","0","13283","0","0"
"2026-02-17","KittyChiu","copilot","copilot_premium_request","Auto: GPT-5.2-Codex","4.5","requests","0.04","0.18","0.18","0","False","1000","avocadosmash","","20694","1064","0","5760"
"2026-02-17","neildcruz","copilot","copilot_premium_request","Claude Opus 4.6","669","requests","0.04","26.759999999999984","26.759999999999984","0","False","1000","neildcruz-avocado","","196","10556","706405","329606"
"2026-02-17","mouismail","copilot","copilot_premium_request","Claude Opus 4.6","180","requests","0.04","7.2","7.2","0","False","1000","mouismail-avocado","","510","1333","35072","95465"
"2026-02-17","mouismail","copilot","copilot_premium_request","Claude Sonnet 4.5","7","requests","0.04","0.28","0.28","0","False","1000","mouismail-avocado","","1031","2494","44177","72397"
"2026-02-17","optimisticjc","copilot","copilot_premium_request","GPT-5.1-Codex-Max","1","requests","0.04","0.04","0.04","0","False","1000","optimisticjc-ceviche","","4159","82","0","5760"
"2026-02-17","KittyChiu","copilot","copilot_premium_request","GPT-5.2","22","requests","0.04","0.8800000000000002","0.8800000000000002","0","False","1000","avocadosmash","","239699","17552","0","546816"
"2026-02-17","LindseyB","copilot","copilot_premium_request","GPT-5.2","9","requests","0.04","0.36","0.36","0","False","1000","evil-copilot-avocado","","45133","7792","0","184448"
"2026-02-17","kathleenqin","copilot","copilot_premium_request","GPT-5.2","2","requests","0.04","0.08","0.08","0","False","1000","github","[org team] cost-center-automation/the-a-team","1438","905","0","14336"
"2026-02-18","KittyChiu","copilot","copilot_premium_request","Auto: Claude Haiku 4.5","0.3","requests","0.04","0.012","0.012","0","False","1000","avocadosmash","","0","244","0","0"
"2026-02-18","some-natalie","copilot","copilot_premium_request","Claude Opus 4.5","24","requests","0.04","0.96","0.96","0","False","1000","larger-runner-demo","","4831","2588","50621","57767"
"2026-02-18","arilivigni","copilot","copilot_premium_request","Claude Opus 4.6","12","requests","0.04","0.48","0.48","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","439","914","75359","72197"
"2026-02-18","glorialangreo","copilot","copilot_premium_request","Claude Opus 4.6","3","requests","0.04","0.12","0.12","0","False","1000","github","","2","284","81253","0"
"2026-02-18","mouismail","copilot","copilot_premium_request","Claude Opus 4.6","30","requests","0.04","1.2","1.2","0","False","1000","mouismail-avocado","","2","183","13571","0"
"2026-02-18","some-natalie","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","1000","larger-runner-demo","","124","160","0","0"
"2026-02-18","optimisticjc","copilot","copilot_premium_request","GPT-5.1","11","requests","0.04","0.43999999999999995","0.43999999999999995","0","False","1000","optimisticjc-ceviche","","32284","3543","0","81792"
"2026-02-18","LindseyB","copilot","copilot_premium_request","GPT-5.2","11","requests","0.04","0.43999999999999995","0.43999999999999995","0","False","1000","evil-copilot-avocado","","1893","5054","0","94848"
"2026-02-18","KittyChiu","copilot","copilot_premium_request","GPT-5.2","49","requests","0.04","1.960000000000001","1.960000000000001","0","False","1000","avocadosmash","","555632","56263","0","1446272"
"2026-02-18","kathleenqin","copilot","copilot_premium_request","GPT-5.2","2","requests","0.04","0.08","0.08","0","False","1000","github","[org team] cost-center-automation/the-a-team","2015","347","0","16128"
